Name,iso_code,genus,family
Kamu,xmu,Eastern Daly,Eastern Daly
Kodava,kfa,Southern Dravidian,Dravidian
Kwerba,kwe,Kwerba,Kwerba
Lebeo,agh,Bantoid,Niger-Congo
Lucazi,lch,Bantoid,Niger-Congo
Mandinka,mnk,Western Mande,Mande
Marshallese,mah,Oceanic,Austronesian
Mbere,mdt,Bantoid,Niger-Congo
Minaveha,mvn,Oceanic,Austronesian
Mongol (Khamnigan),NA,Mongolic,Altaic
Natügu,ntu,Oceanic,Austronesian
Nend,anh,Madang,Trans-New Guinea
One,aun,West Wapei,Torricelli
Ordos,mvf,Mongolic,Altaic
Paiute (Southern),ute,Numic,Uto-Aztecan
Pisa,psa,Awju-Dumut,Trans-New Guinea
Rao,rao,Annaberg,Lower Sepik-Ramu
Sahaptin (Umatilla),uma,Sahaptian,Penutian
Shekhawati,swv,Indic,Indo-European
Talysh (Southern),tly,Iranian,Indo-European
Tati (Southern),tks,Iranian,Indo-European
Tinani,lbf,Bodic,Sino-Tibetan
Tsez,ddo,Avar-Andic-Tsezic,Nakh-Daghestanian
Tuareg (Air),thv,Berber,Afro-Asiatic
Worora,wro,Worrorran,Worrorran
Nuosu,iii,Burmese-Lolo,Sino-Tibetan
Yir Yoront,yyr,Northern Pama-Nyungan,Pama-Nyungan
Aché,guq,Tupi-Guaraní,Tupian
Aizi,ahp,Kru,Niger-Congo
Ket,ket,Yeniseian,Yeniseian
Ayiwo,nfl,Oceanic,Austronesian
Bafia,ksf,Bantoid,Niger-Congo
Bafut,bfd,Bantoid,Niger-Congo
Balanta,bjt,Bak,Niger-Congo
Balanta,ble,Bak,Niger-Congo
Bariba,bba,Southern-Central Gur,Niger-Congo
Brokskat,bkk,Indic,Indo-European
Bularnu,NA,Western Pama-Nyungan,Pama-Nyungan
Chayahuita,cbt,Cahuapanan,Cahuapanan
Coeur d'Alene,crd,Interior Salish,Salishan
Cuiba,cui,Guahiban,Guahiban
Dulong,duu,Nungish,Sino-Tibetan
Emmi,amy,Wagaydy,Western Daly
Ga'anda,gqa,Biu-Mandara,Afro-Asiatic
Galela,gbi,North Halmaheran,West Papuan
Guhu-Samane,ghs,Binanderean,Trans-New Guinea
Idoma,idu,Idomoid,Niger-Congo
Idu,clk,Digaroan,Sino-Tibetan
Ixil,ixl,Mayan,Mayan
Kabiyé,kbp,Southern-Central Gur,Niger-Congo
Kamoro,kgq,Asmat-Kamoro,Trans-New Guinea
Kayapó,txu,Ge-Kaingang,Macro-Ge
Khowar,khw,Indic,Indo-European
Kohumono,bcs,Cross River,Niger-Congo
Koyukon,koy,Athapaskan,Na-Dene
Kurmanji,kmr,Iranian,Indo-European
Langi,lag,Bantoid,Niger-Congo
Larike,alo,Central Malayo-Polynesian,Austronesian
Lhomi,lhm,Bodic,Sino-Tibetan
Lungchang,nst,Northern Naga,Sino-Tibetan
Ma,msj,Ubangi,Niger-Congo
Mekeo,mek,Oceanic,Austronesian
Mixtec (Molinos),mig,Mixtecan,Oto-Manguean
Mundurukú,myu,Munduruku,Tupian
Ngadjumaja,nju,Western Pama-Nyungan,Pama-Nyungan
Nguna,llp,Oceanic,Austronesian
Nyamkad,tpq,Bodic,Sino-Tibetan
Orya,ury,Orya,Tor-Orya
Patwin,pwu,Wintuan,Penutian
Konjo,kjc,South Sulawesi,Austronesian
Moraori,mok,Moraori,Moraori
Machiguenga,mcb,Pre-Andine Arawakan,Arawakan
Lega,lea,Bantoid,Niger-Congo
Slovak,slk,Slavic,Indo-European
Taiap,gpn,Gapun,Gapun
Teke (Southern),kkw,Bantoid,Niger-Congo
Tiv,tiv,Bantoid,Niger-Congo
Tsakhur,tkr,Lezgic,Nakh-Daghestanian
Western Desert (Ooldea),NA,Western Pama-Nyungan,Pama-Nyungan
Wirangu,wgu,Central Pama-Nyungan,Pama-Nyungan
Womo,NA,Serra Hills,Skou
Alladian,ald,Kwa,Niger-Congo
Bachamal,wdj,Anson Bay,Anson Bay
Bagvalal,kva,Avar-Andic-Tsezic,Nakh-Daghestanian
Bakairí,bkq,Cariban,Cariban
Bardi,bcj,Nyulnyulan,Nyulnyulan
Beembe,beq,Bantoid,Niger-Congo
Bisu,bzi,Burmese-Lolo,Sino-Tibetan
Bisu,lwm,Burmese-Lolo,Sino-Tibetan
Bobangi,bni,Bantoid,Niger-Congo
Bru (Western),brv,Katuic,Austro-Asiatic
Caddo,cad,Caddoan,Caddoan
Chiquitano,cax,Chiquito,Chiquito
Coahuilteco,xcw,Coahuiltecan,Coahuiltecan
Dadibi,mps,Teberan,Teberan-Pawaian
Daju (Dar Fur),daj,Daju,Eastern Sudanic
Dangaléat (Western),daa,East Chadic,Afro-Asiatic
Darai,dry,Indic,Indo-European
Deti,shg,Khoe-Kwadi,Khoe-Kwadi
Toro So,dts,Dogon,Dogon
Ega,ega,Ega,Niger-Congo
Fuzhou,cdo,Chinese,Sino-Tibetan
Gelao,gqu,Kadai,Tai-Kadai
Gola,gol,Mel,Niger-Congo
Guató,gta,Guató,Guató
Hadza,hts,Hadza,Hadza
Hebrew (Modern Ashkenazic),heb,Semitic,Afro-Asiatic
Irish (Donegal),gle,Celtic,Indo-European
Isoko,iso,Edoid,Niger-Congo
Japreria,jru,Cariban,Cariban
Jomang,tlo,Talodi,Kordofanian
Wu,wuu,Chinese,Sino-Tibetan
Karkar-Yuri,yuj,Eastern Pauwasi,Pauwasi
Katcha,xtc,Kadugli,Kadu
Kedang,ksx,Central Malayo-Polynesian,Austronesian
Kinga,zga,Bantoid,Niger-Congo
Kisi (Southern),kss,Mel,Niger-Congo
Kpan,kpk,Platoid,Niger-Congo
Lakkia,lbc,Kadai,Tai-Kadai
Lamé,lme,Masa,Afro-Asiatic
Laz,lzz,Kartvelian,Kartvelian
Lua,nie,Bua,Niger-Congo
Ma'ya,slz,South Halmahera - West New Guinea,Austronesian
Mungaka,mhk,Bantoid,Niger-Congo
Nalik,nal,Oceanic,Austronesian
Nengone,nen,Oceanic,Austronesian
Nyah Kur (Tha Pong),cbn,Monic,Austro-Asiatic
Nyangi,nyp,Kuliak,Eastern Sudanic
Ogbia,ogb,Cross River,Niger-Congo
Parauk,prk,Palaungic,Austro-Asiatic
Phlong,pww,Karen,Sino-Tibetan
Po-Ai,fwa,Oceanic,Austronesian
Popoloca (San Juan Atzingo),poe,Popolocan,Oto-Manguean
Pungupungu,wdj,Anson Bay,Anson Bay
Rawa,rwo,Finisterre-Huon,Trans-New Guinea
Romani (Kalderash),rmy,Indic,Indo-European
Romansch (Scharans),roh,Romance,Indo-European
Rotokas,roo,West Bougainville,West Bougainville
Saami (Central-South),sma,Saami,Uralic
Savosavo,svs,Savosavo,Solomons East Papuan
Seme,sif,Kru,Niger-Congo
Sa'ban,snv,North Borneo,Austronesian
Makua,mgh,Bantoid,Niger-Congo
Makua,xsq,Bantoid,Niger-Congo
Tzeltal (Aguacatenango),tzh,Mayan,Mayan
UMbundu,umb,Bantoid,Niger-Congo
Venda,ven,Bantoid,Niger-Congo
Wai Wai,waw,Cariban,Cariban
Wantoat,wnc,Finisterre-Huon,Trans-New Guinea
Zazaki,diq,Iranian,Indo-European
Achang,acn,Burmese-Lolo,Sino-Tibetan
Akawaio,ake,Cariban,Cariban
Aleut (Eastern),ale,Aleut,Eskimo-Aleut
Anamuxra,imi,Madang,Trans-New Guinea
Basaá,bas,Bantoid,Niger-Congo
Bemba,bem,Bantoid,Niger-Congo
Bongu,bpu,Madang,Trans-New Guinea
Capanahua,kaq,Panoan,Panoan
Dâw,kwa,Nadahup,Nadahup
Day,dai,Day,Niger-Congo
Djinang,dji,Western Pama-Nyungan,Pama-Nyungan
Fe'fe',fmp,Bantoid,Niger-Congo
Fongbe,fon,Kwa,Niger-Congo
Hanga Hundi,wos,Ndu,Sepik
Itzaj,itz,Mayan,Mayan
Jeli,NA,Western Mande,Mande
Kefa,kbr,South Omotic,Afro-Asiatic
Kiluba,lub,Bantoid,Niger-Congo
Kotoko,aal,Biu-Mandara,Afro-Asiatic
Lü,khb,Kam-Tai,Tai-Kadai
Matuumbi,mgw,Bantoid,Niger-Congo
Mussau,emi,Oceanic,Austronesian
Nahali,nll,Nahali,Nahali
Neo-Aramaic (Persian Azerbaijan),trg,Semitic,Afro-Asiatic
Ngan'gityemerri,nam,Ngankikurungkurr,Southern Daly
Ngawun,nxn,Northern Pama-Nyungan,Pama-Nyungan
Nsenga,nse,Bantoid,Niger-Congo
Nyigina,nyh,Nyulnyulan,Nyulnyulan
Omaha,oma,Core Siouan,Siouan
Ormuri,oru,Iranian,Indo-European
Pame,pbs,Pamean,Oto-Manguean
Romansch (Sursilvan),roh,Romance,Indo-European
Ron,cla,West Chadic,Afro-Asiatic
Senadi,sef,Senufo,Niger-Congo
Shabo,sbf,Shabo,Shabo
Soninke,snk,Western Mande,Mande
Tikar,tik,Bantoid,Niger-Congo
Waris,wrs,Border,Border
Wathawurrung,NA,Southeastern Pama-Nyungan,Pama-Nyungan
Waunana,noa,Choco,Choco
/Xam,xam,Tu,Tu
Xavánte,xav,Ge-Kaingang,Macro-Ge
Xokleng,xok,Ge-Kaingang,Macro-Ge
Yaminahua,yaa,Panoan,Panoan
Adynyamathanha,adt,Central Pama-Nyungan,Pama-Nyungan
Anindilyakwa,aoi,Anindilyakwa,Gunwinyguan
Babole,bvx,Bantoid,Niger-Congo
Bakueri,bri,Bantoid,Niger-Congo
Bandjalang (Yugumbir),bdy,Southeastern Pama-Nyungan,Pama-Nyungan
Barambu,brm,Ubangi,Niger-Congo
Baruya,byr,Angan,Trans-New Guinea
Bisa,bib,Eastern Mande,Mande
Cacua,cbv,Cacua-Nukak,Cacua-Nukak
Magar,mgp,Mahakiranti,Sino-Tibetan
Wapishana,wap,Wapishanan,Arawakan
Aikaná,tba,Aikaná,Aikaná
Ngbaka (Minagende),nga,Gbaya-Manza-Ngbaka,Niger-Congo
Gaagudju,gbu,Gaagudju,Gaagudju
Igede,ige,Idomoid,Niger-Congo
Iwam,iwm,Upper Sepik,Sepik
Jeh,jeh,Bahnaric,Austro-Asiatic
K'ekchí,kek,Mayan,Mayan
Kachari,xac,Bodo-Garo,Sino-Tibetan
Kaki Ae,tbd,Tate,Eleman
Kete,kcv,Bantoid,Niger-Congo
Kullo,gmo,North Omotic,Afro-Asiatic
Kyuquot,nuk,Southern Wakashan,Wakashan
Mandinka (Gambian),mnk,Western Mande,Mande
Maxakalí,mbl,Maxakalí,Macro-Ge
Mixe (Totontepec),mto,Mixe-Zoque,Mixe-Zoque
Musom,msu,Oceanic,Austronesian
Nyawaygi,nyt,Northern Pama-Nyungan,Pama-Nyungan
Rashad,ras,Rashad,Kordofanian
Sobei,sob,Oceanic,Austronesian
Sorbian,dsb,Slavic,Indo-European
Sorbian,hsb,Slavic,Indo-European
Tirmaga,suq,Surmic,Eastern Sudanic
Toaripi,tqo,Eleman Proper,Eleman
Tokelauan,tkl,Oceanic,Austronesian
Tonga (in Zambia),toi,Bantoid,Niger-Congo
Torwali,trw,Indic,Indo-European
Wedau,wed,Oceanic,Austronesian
Yawuru,ywr,Nyulnyulan,Nyulnyulan
Yeyi,yey,Bantoid,Niger-Congo
Afrikaans,afr,Germanic,Indo-European
Aghem,agq,Bantoid,Niger-Congo
Ahtna,aht,Athapaskan,Na-Dene
Baule,bci,Kwa,Niger-Congo
Bini,bin,Edoid,Niger-Congo
Bunuba,bck,Bunuban,Bunuban
Chaldean (Modern),cld,Semitic,Afro-Asiatic
Degema,deg,Edoid,Niger-Congo
Dongo,doo,Ubangi,Niger-Congo
Domaaki,dmk,Indic,Indo-European
Eyak,eya,Eyak,Na-Dene
Gunin,gww,Worrorran,Worrorran
Gurr-goni,gge,Burarran,Mangrida
Heiltsuk,hei,Northern Wakashan,Wakashan
I'saka,ksi,Krisa,Skou
Jiarong,jya,rGyalrong,Sino-Tibetan
Kala Lagaw Ya,mwp,Northern Pama-Nyungan,Pama-Nyungan
Kamba,kam,Bantoid,Niger-Congo
Khakas,kjh,Turkic,Altaic
Konkow,mjd,Maiduan,Penutian
Kota,kfe,Southern Dravidian,Dravidian
Kuuku Ya'u,kuy,Northern Pama-Nyungan,Pama-Nyungan
Londo,bdu,Bantoid,Niger-Congo
Lushootseed,lut,Central Salish,Salishan
Maale,mdy,North Omotic,Afro-Asiatic
Masakin,jle,Talodi,Kordofanian
Massachusett,wam,Algonquian,Algic
Mazatec (Huautla),mau,Popolocan,Oto-Manguean
Mikasuki,mik,Muskogean,Muskogean
Mofu-Gudur,mif,Biu-Mandara,Afro-Asiatic
Mongo,lol,Bantoid,Niger-Congo
Mundang,mua,Mbumic,Niger-Congo
Nankina,nnk,Finisterre-Huon,Trans-New Guinea
Ngalkbun,ngk,Gunwinygic,Gunwinyguan
Nobiin,fia,Nubian,Eastern Sudanic
Pacoh,pac,Katuic,Austro-Asiatic
Quechua (Cochabamba),quh,Quechuan,Quechuan
Roro,rro,Oceanic,Austronesian
Samba Leko,ndi,Samba-Duru,Niger-Congo
Savi,sdg,Indic,Indo-European
Soqotri,sqt,Semitic,Afro-Asiatic
Sotho (Northern),nso,Bantoid,Niger-Congo
Tabwa,tap,Bantoid,Niger-Congo
Taiof,sps,Oceanic,Austronesian
Mbodomo,gmm,Gbaya-Manza-Ngbaka,Niger-Congo
Vafsi,vaf,Iranian,Indo-European
Wangkumara,xwk,Central Pama-Nyungan,Pama-Nyungan
Yahgan,yag,Yámana,Yámana
Adyghe (Abzakh),ady,Northwest Caucasian,Northwest Caucasian
Ala'ala,nrz,Oceanic,Austronesian
Angaataha,agm,Angan,Trans-New Guinea
Arrernte (Western),are,Central Pama-Nyungan,Pama-Nyungan
Bidiya,bid,East Chadic,Afro-Asiatic
Binandere,bhg,Binanderean,Trans-New Guinea
Chickasaw,cic,Muskogean,Muskogean
Cofán,con,Cofán,Cofán
Comox,coo,Central Salish,Salishan
Dhargari,dhr,Western Pama-Nyungan,Pama-Nyungan
Dimasa,dis,Bodo-Garo,Sino-Tibetan
Djabugay,dyy,Northern Pama-Nyungan,Pama-Nyungan
Duala,dua,Bantoid,Niger-Congo
Ejagham,etu,Bantoid,Niger-Congo
Guahibo,guh,Guahiban,Guahiban
Gureng Gureng,gnr,Southeastern Pama-Nyungan,Pama-Nyungan
Kalami,gwc,Indic,Indo-European
Karen (Pwo),kjp,Karen,Sino-Tibetan
Karen (Pwo),pwo,Karen,Sino-Tibetan
Kâte,kmg,Finisterre-Huon,Trans-New Guinea
Konkani,knn,Indic,Indo-European
Kuman,kue,Chimbu,Trans-New Guinea
Kumauni,kfy,Indic,Indo-European
Kurukh,kru,Northern Dravidian,Dravidian
Lacandón,lac,Mayan,Mayan
Lewo,lww,Oceanic,Austronesian
Lou,loj,Oceanic,Austronesian
Marrithiyel,mfr,Bringen,Western Daly
Matsés,mcf,Panoan,Panoan
Muisca,chb,Chibcha-Duit,Chibchan
Mursi,muz,Surmic,Eastern Sudanic
Naga (Zeme),nzm,Kuki-Chin,Sino-Tibetan
Natchez,ncz,Natchez,Natchez
Ndumu,nmd,Bantoid,Niger-Congo
Nehan,nsn,Oceanic,Austronesian
Noghay,nog,Turkic,Altaic
Nubian (Kunuz),xnz,Nubian,Eastern Sudanic
Bunu (Younuo),buh,Hmong-Mien,Hmong-Mien
Podoko,pbi,Biu-Mandara,Afro-Asiatic
Sangu,snq,Bantoid,Niger-Congo
Seminole,mus,Muskogean,Muskogean
Shan,shn,Kam-Tai,Tai-Kadai
Shatt,shj,Daju,Eastern Sudanic
Sherpa,xsr,Bodic,Sino-Tibetan
Siar,sjr,Oceanic,Austronesian
Sudest,tgo,Oceanic,Austronesian
Tairora,tbg,Eastern Highlands,Trans-New Guinea
Tarao,tro,Kuki-Chin,Sino-Tibetan
Tigrinya,tir,Semitic,Afro-Asiatic
Tobati,tti,Oceanic,Austronesian
Tugun,tzn,Central Malayo-Polynesian,Austronesian
Uzbek (Northern),uzn,Turkic,Altaic
Votic,vot,Finnic,Uralic
Adzera,adz,Oceanic,Austronesian
Amuzgo,amu,Amuzgoan,Oto-Manguean
Avokaya,avu,Moru-Ma'di,Central Sudanic
Azari (Iranian),azb,Turkic,Altaic
Busa,bqp,Eastern Mande,Mande
Cashibo,cbr,Panoan,Panoan
Cavineña,cav,Tacanan,Tacanan
CiLuba,lua,Bantoid,Niger-Congo
Thulung,tdh,Mahakiranti,Sino-Tibetan
Guambiano,gum,Barbacoan,Barbacoan
Gunbalang,wlg,Gunwinygic,Gunwinyguan
Iwaidja,ibd,Iwaidjan,Iwaidjan
Jarawa (in Nigeria),jar,Bantoid,Niger-Congo
Kele,sbc,Oceanic,Austronesian
Keresan (Santa Ana),kee,Keresan,Keresan
Kirma,cme,Southern-Central Gur,Niger-Congo
Limilngan,lmc,Limilngan,Darwin Region
Ma'anyan,mhy,Barito,Austronesian
Mamvu,mdi,Mangbutu-Efe,Central Sudanic
Mazahua,maz,Otomian,Oto-Manguean
Mazahua,mmc,Otomian,Oto-Manguean
Mekens,skf,Tupari,Tupian
Meryam Mir,ulk,Western Fly,Western Fly
Mpur,akc,Kebar,West Papuan
Naxi,nxq,Naxi,Sino-Tibetan
Ömie,aom,Koiarian,Trans-New Guinea
Onge,oon,South Andamanese,South Andamanese
Orig,ras,Rashad,Kordofanian
Panare,pbh,Cariban,Cariban
Pumi,pmi,Qiangic,Sino-Tibetan
Pumi,pmj,Qiangic,Sino-Tibetan
Santa,sce,Mongolic,Altaic
Sapuan,spu,Bahnaric,Austro-Asiatic
Siane,snp,Eastern Highlands,Trans-New Guinea
Sindhi,snd,Indic,Indo-European
Sougb,mnx,East Bird's Head,East Bird's Head
Susu,sus,Western Mande,Mande
Swati,ssw,Bantoid,Niger-Congo
Kuuk Thaayorre,thd,Northern Pama-Nyungan,Pama-Nyungan
Timucua,tjm,Timucua,Timucua
Totonac (Papantla),top,Totonacan,Totonacan
Warembori,wsa,South Halmahera - West New Guinea,Austronesian
Bali-Vitu,bbn,Oceanic,Austronesian
Bali-Vitu,wiv,Oceanic,Austronesian
Bauzi,bvz,East Geelvink Bay,East Geelvink Bay
Bété,bev,Kru,Niger-Congo
Chontal (Huamelultec Oaxaca),clo,Tequistlatecan,Tequistlatecan
Crow,cro,Core Siouan,Siouan
Darma,drd,Bodic,Sino-Tibetan
Dime,dim,South Omotic,Afro-Asiatic
Enets,enf,Samoyedic,Uralic
Enets,enh,Samoyedic,Uralic
Gamo,gmv,North Omotic,Afro-Asiatic
Gapapaiwa,pwg,Oceanic,Austronesian
Gela,nlg,Oceanic,Austronesian
Gitksan,git,Tsimshianic,Penutian
Iau,tmu,Lakes Plain,Lakes Plain
Kenga,kyq,Bongo-Bagirmi,Central Sudanic
Koreguaje,coe,Tucanoan,Tucanoan
Lamaholot,slp,Central Malayo-Polynesian,Austronesian
Matis,mpq,Panoan,Panoan
Mbili,baw,Bantoid,Niger-Congo
Dhaasanac,dsh,Lowland East Cushitic,Afro-Asiatic
Mixe (Coatlán),mco,Mixe-Zoque,Mixe-Zoque
Movima,mzp,Movima,Movima
Nadëb,mbj,Nadahup,Nadahup
Nagatman,nce,Yale,Yale
Nimboran,nir,Nimboran,Nimboran
Nisenan,nsz,Maiduan,Penutian
Nzakara,nzk,Ubangi,Niger-Congo
Oriya,ori,Indic,Indo-European
Osage,osa,Core Siouan,Siouan
Palaung,pce,Palaungic,Austro-Asiatic
Palaung,rbb,Palaungic,Austro-Asiatic
Pare,asa,Bantoid,Niger-Congo
Patep,ptp,Oceanic,Austronesian
Roviana,rug,Oceanic,Austronesian
Santali,sat,Munda,Austro-Asiatic
Tehuelche,teh,Chon Proper,Chon
Tenyer,kza,Senufo,Niger-Congo
Tshangla,tsj,Bodic,Sino-Tibetan
Tutelo,tta,Core Siouan,Siouan
Tuyuca,tue,Tucanoan,Tucanoan
Udi,udi,Lezgic,Nakh-Daghestanian
Usarufa,usa,Eastern Highlands,Trans-New Guinea
Yale (Kosarek),kkl,Mek,Trans-New Guinea
Yana,ynn,Yana,Hokan
Gbaya (Northwest),gya,Gbaya-Manza-Ngbaka,Niger-Congo
Apache (Western),apw,Athapaskan,Na-Dene
Arabic (Modern Standard),arb,Semitic,Afro-Asiatic
Awa,awb,Eastern Highlands,Trans-New Guinea
Balti,bft,Bodic,Sino-Tibetan
Banoni,bcm,Oceanic,Austronesian
Bushoong,buf,Bantoid,Niger-Congo
Candoshi,cbu,Candoshi,Candoshi
Chinook (Upper),wac,Chinookan,Penutian
Domari,rmt,Indic,Indo-European
Gahuku,gah,Eastern Highlands,Trans-New Guinea
Gugada,ktd,Western Pama-Nyungan,Pama-Nyungan
Gününa Küne,pue,Puelche,Chon
Haya,hay,Bantoid,Niger-Congo
Hidatsa,hid,Core Siouan,Siouan
Ho,hoc,Munda,Austro-Asiatic
Iduna,viv,Oceanic,Austronesian
Ila,ilb,Bantoid,Niger-Congo
Kalam,kmh,Madang,Trans-New Guinea
Kharia,khr,Munda,Austro-Asiatic
Kinnauri,kfk,Bodic,Sino-Tibetan
Koita,kqi,Koiarian,Trans-New Guinea
Komi-Permyak,koi,Permic,Uralic
Konni,kma,Northern-Central Gur,Niger-Congo
Lagwan,kot,Biu-Mandara,Afro-Asiatic
Mambila,mcu,Bantoid,Niger-Congo
Mambila,mzk,Bantoid,Niger-Congo
Mangap-Mbula,mna,Oceanic,Austronesian
Masa,mcn,Masa,Afro-Asiatic
Mbabaram,NA,Northern Pama-Nyungan,Pama-Nyungan
Meyah,mej,East Bird's Head,East Bird's Head
Mondunga,ndt,Ubangi,Niger-Congo
Mwera,mwe,Bantoid,Niger-Congo
Nocte,njb,Northern Naga,Sino-Tibetan
Orok,oaa,Tungusic,Altaic
Pawnee,paw,Caddoan,Caddoan
Piaroa,pid,Piaroa,Sáliban
Qiang,cng,Qiangic,Sino-Tibetan
Qiang,qxs,Qiangic,Sino-Tibetan
Sahaptin (Northern),waa,Sahaptian,Penutian
Sahaptin (Northern),yak,Sahaptian,Penutian
Sawu,hvn,Central Malayo-Polynesian,Austronesian
Shoshone,shh,Numic,Uto-Aztecan
Takia,tbc,Oceanic,Austronesian
Tanacross,tcb,Athapaskan,Na-Dene
Thakali,ths,Bodic,Sino-Tibetan
Turkmen,tuk,Turkic,Altaic
Warrwa,wwr,Nyulnyulan,Nyulnyulan
Zapotec (Yatzachi),zav,Zapotecan,Oto-Manguean
Zarma,dje,Songhay,Songhay
Arabela,arl,Zaparoan,Zaparoan
Arop-Lokep,apr,Oceanic,Austronesian
Awngi,awn,Central Cushitic,Afro-Asiatic
Bagiro,fuu,Bongo-Bagirmi,Central Sudanic
Carib (De'kwana),mch,Cariban,Cariban
Chehalis (Upper),cjh,Tsamosan,Salishan
Gidabal,bdy,Southeastern Pama-Nyungan,Pama-Nyungan
Goemai,ank,West Chadic,Afro-Asiatic
Hmar,hmr,Kuki-Chin,Sino-Tibetan
Kamass,xas,Samoyedic,Uralic
Kara (in Central African Republic),kah,Bongo-Bagirmi,Central Sudanic
Kiliwa,klb,Yuman,Hokan
Klao,klu,Kru,Niger-Congo
Koiali (Mountain),kpx,Koiarian,Trans-New Guinea
Kuna,kvn,Kuna,Chibchan
Kxoe,xuu,Khoe-Kwadi,Khoe-Kwadi
Laal,gdm,Laal,Laal
Lotha,njh,Kuki-Chin,Sino-Tibetan
Madimadi,NA,Southeastern Pama-Nyungan,Pama-Nyungan
Mangbetu,mdj,Mangbetu,Central Sudanic
Mbara,mpk,Biu-Mandara,Afro-Asiatic
Mixtec (Jicaltepec),mio,Mixtecan,Oto-Manguean
Mixtec (Yosondúa),mpm,Mixtecan,Oto-Manguean
Baure,brg,Bolivia-Parana,Arawakan
Cree (Swampy),csw,Algonquian,Algic
Ocaina,oca,Huitoto,Huitotoan
Orokaiva,okv,Binanderean,Trans-New Guinea
Sáliba (in Colombia),slc,Sáliba,Sáliban
Shina,scl,Indic,Indo-European
Tabla,tnm,Sentani,Sentani
Ura,uur,Oceanic,Austronesian
Wakhi,wbl,Iranian,Indo-European
Yokuts (Yaudanchi),yok,Yokuts,Penutian
Aari,aiw,South Omotic,Afro-Asiatic
Agarabi,agd,Eastern Highlands,Trans-New Guinea
Anguthimri,lnj,Northern Pama-Nyungan,Pama-Nyungan
Badimaya,bia,Western Pama-Nyungan,Pama-Nyungan
Bimoba,bim,Northern-Central Gur,Niger-Congo
Bongo,bot,Bongo-Bagirmi,Central Sudanic
Buma,tkw,Oceanic,Austronesian
Buru,mhs,Central Malayo-Polynesian,Austronesian
Chai,suq,Surmic,Eastern Sudanic
Dargwa,dar,Lak-Dargwa,Nakh-Daghestanian
Eudeve,opt,Opata-Eudeve,Uto-Aztecan
Frisian,frs,Germanic,Indo-European
Golin,gvf,Chimbu,Trans-New Guinea
Gula (in Central African Republic),glu,Bongo-Bagirmi,Central Sudanic
Jaminjung,djd,Jaminjungan,Mirndi
Kadugli,xtc,Kadugli,Kadu
Kaulong,pss,Oceanic,Austronesian
Kimaghama,kig,Kolopom,Kolopom
Koegu,xwg,Surmic,Eastern Sudanic
Kokota,kkk,Oceanic,Austronesian
Kyaka,kyc,Engan,Trans-New Guinea
Laragia,lrg,Laragia,Darwin Region
Lisu,lis,Burmese-Lolo,Sino-Tibetan
Maleu,mgl,Oceanic,Austronesian
Maru,mhx,Burmese-Lolo,Sino-Tibetan
Mono (in United States),mnr,Numic,Uto-Aztecan
Mwotlap,mlv,Oceanic,Austronesian
Ngoni,ngo,Bantoid,Niger-Congo
Nhanda,NA,Western Pama-Nyungan,Pama-Nyungan
Pattani,lae,Bodic,Sino-Tibetan
Poko-Rawo,rwa,Serra Hills,Skou
Purki,prx,Bodic,Sino-Tibetan
Ritharngu,rit,Western Pama-Nyungan,Pama-Nyungan
Romani (Welsh),rmw,Indic,Indo-European
Rumu,klq,Turama-Kikorian,Turama-Kikorian
Runga,rou,Maban,Maban
Sardinian,sro,Romance,Indo-European
Seediq,trv,Atayalic,Austronesian
Sora,srb,Munda,Austro-Asiatic
Tobelo,tlb,North Halmaheran,West Papuan
Akha,ahk,Burmese-Lolo,Sino-Tibetan
Anggor,agg,Senagi,Senagi
Arabic (Iraqi),acm,Semitic,Afro-Asiatic
Assamese,asm,Indic,Indo-European
Cakchiquel,cak,Mayan,Mayan
Chatino (Yaitepec),ctp,Zapotecan,Oto-Manguean
Gondi,ggo,South-Central Dravidian,Dravidian
Gondi,gno,South-Central Dravidian,Dravidian
Hualapai,yuf,Yuman,Hokan
Hunde,hke,Bantoid,Niger-Congo
Hup,jup,Nadahup,Nadahup
Katla,kcr,Katla-Tima,Kordofanian
Kwangali,kwn,Bantoid,Niger-Congo
Lendu,led,Lendu,Central Sudanic
Leti,lti,Central Malayo-Polynesian,Austronesian
Mae,mme,Oceanic,Austronesian
Motuna,siw,East Bougainville,East Bougainville
Muruwari,zmu,Southeastern Pama-Nyungan,Pama-Nyungan
Naga (Mao),nbi,Kuki-Chin,Sino-Tibetan
Nahuatl (Michoacán),ncl,Aztecan,Uto-Aztecan
Nar-Phu,npa,Bodic,Sino-Tibetan
Iranxe,irn,Iranxe,Iranxe
Yucuna,ycn,Inland Northern Arawakan,Arawakan
Tibetan (Modern Literary),bod,Bodic,Sino-Tibetan
Tsou,tsu,Tsou,Austronesian
Warndarang,wnd,Warndarang,Mangarrayi-Maran
Yucatec,yua,Mayan,Mayan
Zayse,zay,North Omotic,Afro-Asiatic
Apatani,apt,Tani,Sino-Tibetan
Belorussian,bel,Slavic,Indo-European
Bilua,blb,Bilua,Solomons East Papuan
Biri,bzr,Northern Pama-Nyungan,Pama-Nyungan
Chang,nbc,Northern Naga,Sino-Tibetan
Chin (Mara),mrh,Kuki-Chin,Sino-Tibetan
Chin (Siyin),csy,Kuki-Chin,Sino-Tibetan
Dla (Proper),kbv,Senagi,Senagi
